Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 980/1393 | Loss: 0.1086 (bce=0.0776 aux_ce=0.0775)
  Batch 990/1393 | Loss: 0.3495 (bce=0.1529 aux_ce=0.4916)
  Batch 1000/1393 | Loss: 0.2051 (bce=0.1324 aux_ce=0.1817)
  Batch 1010/1393 | Loss: 0.1078 (bce=0.0310 aux_ce=0.1920)
  Batch 1020/1393 | Loss: 0.0611 (bce=0.0394 aux_ce=0.0544)
  Batch 1030/1393 | Loss: 0.8181 (bce=0.6808 aux_ce=0.3433)
  Batch 1040/1393 | Loss: 0.8372 (bce=0.7307 aux_ce=0.2664)
  Batch 1050/1393 | Loss: 0.2900 (bce=0.1954 aux_ce=0.2366)
  Batch 1060/1393 | Loss: 1.4571 (bce=1.2126 aux_ce=0.6112)
  Batch 1070/1393 | Loss: 0.3239 (bce=0.0533 aux_ce=0.6766)
  Batch 1080/1393 | Loss: 1.5706 (bce=1.1338 aux_ce=1.0920)
  Batch 1090/1393 | Loss: 0.4654 (bce=0.3644 aux_ce=0.2524)
  Batch 1100/1393 | Loss: 0.1384 (bce=0.0676 aux_ce=0.1770)
  Batch 1110/1393 | Loss: 0.0792 (bce=0.0296 aux_ce=0.1241)
  Batch 1120/1393 | Loss: 0.3209 (bce=0.0472 aux_ce=0.6843)
  Batch 1130/1393 | Loss: 0.1591 (bce=0.1097 aux_ce=0.1236)
  Batch 1140/1393 | Loss: 0.3541 (bce=0.1980 aux_ce=0.3901)
  Batch 1150/1393 | Loss: 0.6997 (bce=0.4953 aux_ce=0.5110)
  Batch 1160/1393 | Loss: 1.0415 (bce=0.7996 aux_ce=0.6046)
  Batch 1170/1393 | Loss: 0.7378 (bce=0.5658 aux_ce=0.4299)
  Batch 1180/1393 | Loss: 0.1339 (bce=0.1099 aux_ce=0.0601)
  Batch 1190/1393 | Loss: 0.7106 (bce=0.4649 aux_ce=0.6141)
  Batch 1200/1393 | Loss: 0.4052 (bce=0.2071 aux_ce=0.4953)
  Batch 1210/1393 | Loss: 0.3445 (bce=0.2120 aux_ce=0.3314)
  Batch 1220/1393 | Loss: 0.2022 (bce=0.0568 aux_ce=0.3635)
  Batch 1230/1393 | Loss: 0.1729 (bce=0.0576 aux_ce=0.2883)
  Batch 1240/1393 | Loss: 0.1165 (bce=0.0883 aux_ce=0.0704)
  Batch 1250/1393 | Loss: 0.1160 (bce=0.0484 aux_ce=0.1689)
  Batch 1260/1393 | Loss: 0.4567 (bce=0.3878 aux_ce=0.1721)
  Batch 1270/1393 | Loss: 0.4967 (bce=0.2897 aux_ce=0.5174)
  Batch 1280/1393 | Loss: 0.3014 (bce=0.2522 aux_ce=0.1232)
  Batch 1290/1393 | Loss: 0.2815 (bce=0.1216 aux_ce=0.3998)
  Batch 1300/1393 | Loss: 0.4885 (bce=0.4260 aux_ce=0.1561)
  Batch 1310/1393 | Loss: 0.1686 (bce=0.0904 aux_ce=0.1956)
  Batch 1320/1393 | Loss: 0.2831 (bce=0.0657 aux_ce=0.5436)
  Batch 1330/1393 | Loss: 1.4878 (bce=1.1292 aux_ce=0.8965)
  Batch 1340/1393 | Loss: 1.4891 (bce=1.0696 aux_ce=1.0486)
  Batch 1350/1393 | Loss: 0.2990 (bce=0.1906 aux_ce=0.2710)
  Batch 1360/1393 | Loss: 0.3239 (bce=0.2344 aux_ce=0.2239)
  Batch 1370/1393 | Loss: 0.0828 (bce=0.0250 aux_ce=0.1446)
  Batch 1380/1393 | Loss: 0.9843 (bce=0.6200 aux_ce=0.9108)
  Batch 1390/1393 | Loss: 0.7819 (bce=0.6988 aux_ce=0.2078)
Epoch 2 | Train Loss: 0.4951 | Train Acc: 0.9167 | Val AUC: 0.9874
Saved checkpoint: models\stageA_checkpoint_epoch2.pth
  New best val AUC: 0.9874 - saved stageA_best_model.pth
  Batch 10/1393 | Loss: 0.2057 (bce=0.1654 aux_ce=0.1008)
  Batch 20/1393 | Loss: 0.1820 (bce=0.1274 aux_ce=0.1365)
  Batch 30/1393 | Loss: 0.1386 (bce=0.0353 aux_ce=0.2582)
  Batch 40/1393 | Loss: 0.2019 (bce=0.1319 aux_ce=0.1750)
  Batch 50/1393 | Loss: 1.2550 (bce=1.0217 aux_ce=0.5834)
  Batch 60/1393 | Loss: 0.1586 (bce=0.1250 aux_ce=0.0840)
  Batch 70/1393 | Loss: 0.8135 (bce=0.6217 aux_ce=0.4795)
  Batch 80/1393 | Loss: 1.1488 (bce=0.8894 aux_ce=0.6484)
  Batch 90/1393 | Loss: 0.1673 (bce=0.1310 aux_ce=0.0907)
  Batch 100/1393 | Loss: 0.2585 (bce=0.1357 aux_ce=0.3069)
  Batch 110/1393 | Loss: 0.5615 (bce=0.3573 aux_ce=0.5106)
  Batch 120/1393 | Loss: 1.1188 (bce=0.8264 aux_ce=0.7310)
  Batch 130/1393 | Loss: 0.5368 (bce=0.2918 aux_ce=0.6125)
  Batch 140/1393 | Loss: 0.3453 (bce=0.1452 aux_ce=0.5004)
  Batch 150/1393 | Loss: 0.4438 (bce=0.3561 aux_ce=0.2192)
  Batch 160/1393 | Loss: 0.3903 (bce=0.1774 aux_ce=0.5322)
  Batch 170/1393 | Loss: 0.5225 (bce=0.3992 aux_ce=0.3081)
  Batch 180/1393 | Loss: 0.3344 (bce=0.2570 aux_ce=0.1934)
